Size, Seq, Par, Libc
777368, 0.163175, 0.120951, 0.175438
544775, 0.107946, 0.053846, 0.121496
448569, 0.093647, 0.093870, 0.092314
208730, 0.038185, 0.074504, 0.039691
145282, 0.026620, 0.063007, 0.028921
256449, 0.049397, 0.065049, 0.049682
220405, 0.040130, 0.052873, 0.045716
65830, 0.012801, 0.060345, 0.011879
680935, 0.142381, 0.062236, 0.147700
756737, 0.152969, 0.076290, 0.163687
932936, 0.195075, 0.073592, 0.206098
355690, 0.070779, 0.052408, 0.071380
436856, 0.088669, 0.099859, 0.099519
129873, 0.028818, 0.060479, 0.025212
758588, 0.155849, 0.079937, 0.161342
59073, 0.009710, 0.074512, 0.010456
45488, 0.007617, 0.065575, 0.008131
666922, 0.135278, 0.065303, 0.142603
107659, 0.019235, 0.070767, 0.019804
344862, 0.066128, 0.062175, 0.069678
591820, 0.119236, 0.084422, 0.130490
169603, 0.030932, 0.056567, 0.034244
516320, 0.107515, 0.068819, 0.112338
843110, 0.175355, 0.079243, 0.185843
773617, 0.161160, 0.086861, 0.163511
39039, 0.006386, 0.042503, 0.006615
101953, 0.018391, 0.038080, 0.018641
468327, 0.093997, 0.072347, 0.098030
75912, 0.013381, 0.079654, 0.013982
990259, 0.207699, 0.083438, 0.223614
583665, 0.117564, 0.062483, 0.124298
821348, 0.170655, 0.100403, 0.172011
862903, 0.176994, 0.083281, 0.184190
542736, 0.107800, 0.081331, 0.112935
906494, 0.183040, 0.072704, 0.201820
4275, 0.000539, 0.023071, 0.000597
116971, 0.021161, 0.065990, 0.021133
628292, 0.124888, 0.068061, 0.130254
813851, 0.166686, 0.071045, 0.178434
500437, 0.099715, 0.072837, 0.100911
571967, 0.114557, 0.068640, 0.128173
846794, 0.171869, 0.065175, 0.183334
658002, 0.132694, 0.061230, 0.139132
59324, 0.009934, 0.043609, 0.010574
489464, 0.111801, 0.062086, 0.100887
142534, 0.025124, 0.057343, 0.027762
552636, 0.109977, 0.070229, 0.122927
124450, 0.022563, 0.066227, 0.023633
136706, 0.024853, 0.076161, 0.026989
81690, 0.014346, 0.048222, 0.014899
861661, 0.177253, 0.085195, 0.186250
728566, 0.150597, 0.076354, 0.154649
991566, 0.209556, 0.089359, 0.214365
90237, 0.016147, 0.059498, 0.017844
570625, 0.119042, 0.075873, 0.125408
249822, 0.046633, 0.068634, 0.051264
